Zip Code,City,Pills
91011,LA CANADA FLINTRIDGE,261660
91343,NORTHRIDGE,260600
95209,STOCKTON,259620
92866,ORANGE,256710
92596,WINCHESTER,256200
93433,GROVER BEACH,255000
90248,GARDENA,253200
93280,WASCO,251030
94133,SAN FRANCISCO,250180
93546,MAMMOUTH LAKES,249900
92612,IRVINE,249620
91784,UPLAND,248910
90004,LOS ANGELES,248610
93286,WOODLAKE,247200
92582,SAN JACINTO,246700
96122,PORTOLA,244800
94606,OAKLAND,243300
95461,MIDDLETOWN,238530
93927,GREENFIELD,236930
94024,LOS ALTOS,235760
90249,GARDENA,235520
96094,WEED,235200
93650,FRESNO (N),233500
94502,ALAMEDA,232680
92549,IDYLLWILD,232000
94131,SAN FRANCISCO,228300
91381,STEVENSON RANCH,227900
90043,LOS ANGELES,226300
94043,MOUNTAIN VIEW,224930
93620,DOS PALOS,224100
93704,FRESNO,224020
94610,OAKLAND,222620
95379,TUOLUMNE,218400
95237,LOCKEFORD,217500
90002,LOS ANGELES,215300
96041,HAYFORK,215000
95454,LAYTONVILLE,214600
94703,BERKELEY,214000
92377,RIALTO,213870
94939,LARKSPUR,211500
92539,ANZA,210500
90071,LOS ANGELES,210400
96143,KINGS BEACH,209280
91789,WALNUT,209250
90067,LOS ANGELES,208930
93721,FRESNO,207890
94580,SAN LORENZO,206900
95136,SAN JOSE,205700
91040,SUNLAND,205450
95946,PENN VALLEY,205100
92093,LA JOLLA,203040
92703,SANTA ANA,201390
94599,YOUNTVILLE,200500
92606,IRVINE,200120
96027,ETNA,198900
94710,BERKELEY,198000
95468,PT ARENA,197900
95814,SACRAMENTO,196900
