Zip Code,City,Pills,Tax Returns,AGI thousands,Population,Death Rate
95842,SACRAMENTO,925700,12971,460744,31806,6.68
94601,OAKLAND,924750,19463,626801,50294,1.37
92009,CARLSBAD,921530,18560,2095139,40747,3.77
92131,SAN DIEGO,919080,15349,1791686,32787,2.79
92886,YORBA LINDA,917910,21227,2171256,46564,6.18
95003,APTOS,917830,10746,975522,23974,1.86
91754,MONTEREY PARK,914400,16498,815335,32742,7.8
93305,BAKERSFIELD,911770,11966,353809,37601,2.13
94804,RICHMOND,905600,16913,727331,38559,4.85
91945,LEMON GROVE,898310,11139,464306,25460,6.49
95762,EL DORADO HILLS,886900,16691,2147421,38797,9.85
92557,MORENO VALLEY,886470,20219,887319,50320,3.88
92675,SAN JUAN CAPISTRANO,885230,15397,1503181,34731,21.74
92675,SAN JUAN CAPISTRANO,885230,15397,1503181,34731,21.74
95363,PATTERSON,878300,10690,462756,25237,4.1
96067,MOUNT SHASTA,870120,3462,164907,7165,19.67
92078,SAN MARCOS,856810,17841,1258056,42906,10.07
93933,MARINA,854760,9691,444400,22406,9.62
95126,SAN JOSE,851630,15399,1165086,31049,7.61
93657,SANGER,849650,13441,570005,34999,5.66
95037,MORGAN HILL,842340,19426,1778785,45579,1.72
91331,ARLETA,840895,39358,1193295,103689,2.92
92058,OCEANSIDE,840120,15259,590724,42436,3.87
92019,EL CAJON,839430,18847,1231675,42598,1.6
91711,CLAREMONT,838050,15344,1340001,35705,2.69
95841,SACRAMENTO,833400,8603,334521,19448,3.69
95492,WINDSOR,831900,12793,809849,28532,7.2
92865,ORANGE,826200,9107,526603,19704,9.89
90028,HOLLYWOOD,822800,14186,503327,28714,1.53
90603,WHITTIER,821900,9021,621403,20063,3.69
93550,PALMDALE,818900,26898,887252,74929,4.72
94561,OAKLEY,818030,15251,873820,36515,4.85
94561,OAKLEY,818030,15251,873820,36515,4.85
91723,COVINA,811800,8038,366269,18275,5.11
95377,TRACY,797280,11509,793158,30902,6.01
95377,TRACY,797280,11509,793158,30902,6.01
94112,SAN FRANCISCO,793400,38177,1764678,79407,4.48
90813,LONG BEACH,790830,20291,503482,58911,2.02
95616,DAVIS,783800,15039,1131407,47032,4.06
95616,DAVIS,783800,15039,1131407,47032,4.06
93405,SAN LUIS OBISPO,781860,7219,489509,35440,3.44
96019,SHASTA LAKE,781320,3678,135862,10082,10.96
93212,CORCORAN,776260,4845,170667,26079,3.58
94612,OAKLAND,771170,7070,346455,14389,6.94
94952,PETALUMA,767500,14754,1064684,32858,10.63
92109,PACIFIC BEACH,767020,25099,1471882,45787,2.18
94117,SAN FRANCISCO,765150,22353,2140947,39169,7.32
90016,LOS ANGELES,763160,21306,720302,47596,3.72
92057,OCEANSIDE,760120,24173,1256692,54096,3.9
94025,MENLO PARK,757180,18723,4098652,40526,3.66
92119,SAN DIEGO,755240,11406,722452,23057,11.29
91762,ONTARIO,752350,24018,872806,55857,1.5
95050,SANTA CLARA,746200,16600,1154727,35923,5.66
93240,LAKE ISABELLA,743620,2176,84789,6056,8.22
93610,CHOWCHILLA,742670,6274,259222,23833,8.8
92371,PHELAN,740440,3407,143338,16763,4.22
92084,VISTA,739540,19627,940099,47654,8.02
92108,SAN DIEGO,735310,11103,624763,18858,7.53
96101,ALTURAS,734990,2129,88725,5490,14.45
95341,MERCED,734300,11674,308815,32967,4.17
91411,VAN NUYS,731590,10202,456002,24628,3.91
91722,COVINA,727120,15940,707828,34409,2.49
92845,GARDEN GROVE,723130,7836,516976,16333,9.22
90717,LOMITA,718270,9978,520028,21318,13.46
91750,LA VERNE,718130,15703,1103741,33249,5.78
95404,SANTA ROSA,715750,17461,1290175,39761,13.41
95988,WILLOWS,710780,3525,165068,8857,17.18
94960,SAN ANSELMO,704900,6953,883474,15740,14.24
92629,DANA POINT,704160,13747,1378201,25756,27.42
92637,LAGUNA WOODS,703230,9581,446466,16012,5.02
90266,MANHATTAN BEACH,698180,17001,3931021,35135,5.36
91361,THOUSAND OAKS,696300,10036,1517036,20438,15.91
91361,THOUSAND OAKS,696300,10036,1517036,20438,15.91
91901,ALPINE,691330,6754,526905,17403,7.02
95122,SAN JOSE,686960,23047,782607,56545,4.31
92656,ALISO VIEJO,684710,22780,1907880,49046,4.51
94010,BURLINGAME,683800,19813,4650267,40737,1.92
93041,PORT HUENEME,679310,9280,380127,23641,15.08
90278,REDONDO BEACH,677180,19602,1658246,40071,10.6
91301,AGOURA HILLS,676220,12207,1289363,25488,5.9
91301,AGOURA HILLS,676220,12207,1289363,25488,5.9
94519,CONCORD,672600,8684,481257,18453,12.22
92570,PERRIS,671350,17759,601935,53697,4.33
90230,CULVER CITY,670530,15400,1042021,31766,3.71
94122,SAN FRANCISCO,666030,29766,1971891,56023,2.85
92105,SAN DIEGO,663500,26270,750311,69813,4.57
94551,LIVERMORE,659590,18120,1270037,36867,2.11
94526,DANVILLE,659370,15238,2111857,31102,6.85
90022,LOS ANGELES,652420,25825,727428,67179,3.4
91387,SANTA CLARITA,649500,17410,1213595,40328,2.38
95407,SANTA ROSA,647900,15578,597637,39352,12.89
91606,NORTH HOLLYWOOD,640522,19104,652571,44958,3.9
95249,SAN ANDREAS,635100,1627,85145,4042,18.78
95618,DAVIS,634490,9896,897163,27281,11.03
95618,DAVIS,634490,9896,897163,27281,11.03
92881,CORONA,632025,11741,842132,30991,4.64
95620,DIXON,627100,8997,494477,20553,10.56
95620,DIXON,627100,8997,494477,20553,10.56
95971,QUINCY,627080,2693,130542,5970,12.18
92688,RANCHO SANTA MARGARITA,616730,19594,1566798,43792,9.19
92706,SANTA ANA,616640,15060,665605,36457,3.02
95125,SAN JOSE,612330,24075,2527471,51939,1.62
91744,LA PUENTE,605700,34105,1124988,85040,1.2
92129,SAN DIEGO,604590,22802,1910732,51536,5.21
92802,ANAHEIM,604470,16834,642825,42709,2.61
93210,COALINGA,602630,4913,212693,19504,7.65
90680,STANTON,600600,12567,465342,29945,3.37
91362,THOUSAND OAKS,595980,17414,2232012,36045,1.78
91362,THOUSAND OAKS,595980,17414,2232012,36045,1.78
94301,PALO ALTO,595130,8351,3061058,16995,4.36
93111,GOLETA,591190,8697,740734,17370,6.14
93012,CAMARILLO,585780,15554,1397791,34617,9.26
95202,STOCKTON,569680,1967,41889,6521,53.66
94306,PALO ALTO,568600,12799,2172698,26469,3.11
90803,LONG BEACH,562990,17715,1722520,32031,7.62
90023,LOS ANGELES,561200,17645,455639,45903,5.66
92651,LAGUNA BEACH,559880,12004,2964214,23881,15.71
90220,COMPTON,559820,20696,662331,49328,2.49
93004,VENTURA,557700,12874,793535,29149,9.65
91042,TUJUNGA,546830,11961,595366,27585,3.59
94534,FAIRFIELD,544000,16404,1354027,36416,8.94
95838,SACRAMENTO,542530,13639,406835,36764,8.07
92672,SAN CLEMENTE,536315,17416,1299066,34464,14.19
92672,SAN CLEMENTE,536315,17416,1299066,34464,14.19
95018,FELTON,535920,3639,229589,7778,7.68
95665,PINE GROVE,534300,2075,110054,4426,60.76
94124,SAN FRANCISCO,532300,15337,566258,33996,21.08
92011,CARLSBAD,525860,10232,1084381,22405,6.3
91768,POMONA,524510,12399,435751,34537,2.98
91303,CANOGA PARK,523160,11421,414343,26855,3.53
94803,EL SOBRANTE,521580,11599,682031,24904,9.6
90601,WHITTIER,519130,13975,779689,31974,6.27
92782,TUSTIN,518660,10772,1220976,23032,3.88
95206,STOCKTON,518540,26509,836342,65004,6.61
91763,MONTCLAIR,516200,15225,536023,36375,2.99
94602,OAKLAND,513400,13675,970957,28329,3.62
95425,CLOVERDALE,511800,4801,253869,10841,23.3
90017,LOS ANGELES,504160,7881,365458,23768,2.93
95127,SAN JOSE,503350,27931,1333890,61325,1.49
92081,VISTA,502400,12644,731257,27404,7.37
