BUYER_ZIP,TRANSACTION_DATE,DOSAGE_UNIT,Ingredient_Name
92024,10082009,100.0,OXYCODONE HYDROCHLORIDE
92024,10152009,200.0,OXYCODONE HYDROCHLORIDE
92024,11252009,200.0,OXYCODONE HYDROCHLORIDE
92024,1082010,200.0,OXYCODONE HYDROCHLORIDE
92024,1252010,100.0,OXYCODONE HYDROCHLORIDE
92024,2092010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,2252010,300.0,OXYCODONE HYDROCHLORIDE
92024,3152010,300.0,OXYCODONE HYDROCHLORIDE
92024,3252010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,4122010,100.0,OXYCODONE HYDROCHLORIDE
92024,7192010,300.0,OXYCODONE HYDROCHLORIDE
92024,7192010,100.0,OXYCODONE HYDROCHLORIDE
92024,8032010,100.0,OXYCODONE HYDROCHLORIDE
92024,11022010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,11232010,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,12012010,500.0,OXYCODONE HYDROCHLORIDE
92024,12162010,200.0,OXYCODONE HYDROCHLORIDE
92024,1042011,600.0,OXYCODONE HYDROCHLORIDE
92024,3302011,100.0,OXYCODONE HYDROCHLORIDE
92024,5232011,100.0,OXYCODONE HYDROCHLORIDE
92024,6012011,200.0,OXYCODONE HYDROCHLORIDE
92024,6012011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,6012011,300.0,OXYCODONE HYDROCHLORIDE
92024,6172011,300.0,OXYCODONE HYDROCHLORIDE
92024,6272011,200.0,OXYCODONE HYDROCHLORIDE
92024,7052011,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,8032011,300.0,OXYCODONE HYDROCHLORIDE
92024,8032011,200.0,OXYCODONE HYDROCHLORIDE
92024,9072011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,3092012,500.0,OXYCODONE HYDROCHLORIDE
92024,7272012,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,8132012,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,10022012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,12052012,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92024,12272012,100.0,OXYCODONE HYDROCHLORIDE
91604,3032006,600.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,1312006,100.0,OXYCODONE HYDROCHLORIDE
92083,3232006,200.0,OXYCODONE HYDROCHLORIDE
92083,6012006,200.0,OXYCODONE HYDROCHLORIDE
92083,7142006,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,7172006,300.0,OXYCODONE HYDROCHLORIDE
92083,7212006,500.0,OXYCODONE HYDROCHLORIDE
92083,9202006,100.0,OXYCODONE HYDROCHLORIDE
92083,10032006,2000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,11082006,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,11302006,1000.0,OXYCODONE HYDROCHLORIDE
92083,12052006,500.0,OXYCODONE HYDROCHLORIDE
92083,2212007,400.0,OXYCODONE HYDROCHLORIDE
92083,4102007,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,5222007,200.0,OXYCODONE HYDROCHLORIDE
92083,5252007,300.0,OXYCODONE HYDROCHLORIDE
92083,6072007,100.0,OXYCODONE HYDROCHLORIDE
92083,6182007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,7242007,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
92083,9102007,200.0,OXYCODONE HYDROCHLORIDE
92083,9132007,400.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
