Zip Code,Tax Returns,AGI thousands
94920,5971,2025924
94922,217,14295
94923,672,50904
94924,695,38814
94925,4428,612597
94928,18033,890177
94930,4029,319932
94931,4342,235994
94937,488,41649
94939,3412,727671
94941,14443,2835738
94945,8290,733525
94946,295,57817
94947,11282,882140
94949,8183,701880
94951,2044,141704
94952,14754,1064684
94954,17088,1087008
94956,876,61828
94960,6953,883474
94965,7679,775048
95003,10746,975522
95004,1820,112985
95005,2920,200447
95006,4119,327477
95008,21859,1874396
95010,5193,304223
95012,4836,162696
95014,24852,3724620
95017,405,38933
95018,3639,229589
95019,3750,132247
95020,23288,1551097
95023,19456,1105255
95030,6266,1932065
95032,12247,2319966
95033,4012,552488
95035,29612,2173252
95037,19426,1778785
95039,756,34428
95043,271,14270
95045,1866,114410
95046,3078,233333
95050,16600,1154727
95051,25814,2112684
95054,11882,1285407
95060,18743,1460873
95062,16576,949481
95064,514,25771
95065,3692,285352
95066,6546,650569
95070,14867,3746136
95073,5417,408172
95075,294,21334
95076,35274,1478767
95110,7977,439984
95111,23963,981344
95112,21694,1058312
95113,994,93407
95116,19825,698682
95117,13130,785296
95118,14472,1117110
95119,4553,343989
95120,16258,2705911
95121,16582,911678
95122,23047,782607
95123,28602,1985991
95124,21426,2055902
95125,24075,2527471
95126,15399,1165086
95127,27931,1333890
95128,15786,1074216
95129,16768,1893977
95130,5948,494882
95131,13577,1060463
95132,18340,1238980
95133,11022,618952
95134,7606,723763
95135,8647,1033087
95136,19923,1391009
95138,7820,1214614
95139,2988,248311
95140,164,17868
95148,19756,1353869
95202,1967,41889
95203,6039,193197
95204,11652,537801
95205,14235,368709
95206,26509,836342
95207,19130,785963
95209,16127,852449
95210,14439,446869
95212,10609,563870
95215,8467,316574
95219,11826,957784
95220,2881,185370
95222,1645,96379
95223,1907,95810
95228,1775,106872
95230,330,14246
95231,1600,57556
95232,145,5868
95236,2562,162271
95237,1691,82937
95240,17110,731133
95242,11033,689485
95245,744,37346
95246,802,39087
95247,1964,109418
95249,1627,85145
95251,281,14292
95252,5237,291694
95255,700,36990
95257,187,7181
