Zip Code,1 under 25K,25K under 50K,50K under 75K,75K under 100K,100K under 200K,200K or more
92308,83297.0,121985.0,120694.0,94859.0,164089.0,60275.0
92309,2676.0,2825.0,2509.0,,,0.0
92310,15151.0,44958.0,22355.0,11953.0,12493.0,
92311,65505.0,101384.0,107211.0,77880.0,91444.0,15722.0
92313,23594.0,49131.0,59585.0,50232.0,79196.0,19531.0
92314,19895.0,27351.0,27362.0,19779.0,35421.0,12354.0
92315,19810.0,27517.0,26106.0,22690.0,45717.0,28208.0
92316,84849.0,121713.0,84160.0,43561.0,41254.0,6931.0
92320,17465.0,29279.0,33134.0,28571.0,39854.0,11514.0
92324,153391.0,236904.0,157251.0,100528.0,117193.0,46314.0
92327,1153.0,2322.0,5510.0,,,
92328,1604.0,2647.0,3269.0,,,0.0
92335,275758.0,377230.0,212279.0,99867.0,72170.0,14392.0
92336,172934.0,300071.0,341060.0,335109.0,557591.0,82223.0
92337,78175.0,156315.0,156115.0,115662.0,111371.0,40342.0
92339,1732.0,3344.0,4399.0,4492.0,11995.0,
92342,11246.0,20637.0,28742.0,27447.0,43847.0,11142.0
92344,34898.0,69763.0,78200.0,66994.0,106036.0,36265.0
92345,179890.0,252776.0,228509.0,160141.0,174442.0,24487.0
92346,120463.0,176926.0,181920.0,178348.0,363232.0,256365.0
92347,2992.0,4167.0,4780.0,2897.0,3283.0,
92354,41584.0,77577.0,83741.0,65666.0,150143.0,101568.0
92356,12737.0,17011.0,14988.0,8356.0,10324.0,
92358,1780.0,3114.0,2665.0,2656.0,3915.0,0.0
92359,17789.0,32768.0,32009.0,28220.0,40306.0,7337.0
92363,12553.0,14380.0,11930.0,11197.0,23218.0,
92365,4350.0,6169.0,5845.0,5423.0,6766.0,
92368,2204.0,2126.0,5804.0,,,
92371,19255.0,29590.0,31058.0,23261.0,33673.0,6501.0
92372,9211.0,14131.0,19534.0,16295.0,32471.0,
92373,56782.0,114286.0,138385.0,135451.0,347325.0,424577.0
92374,84335.0,131081.0,146573.0,133230.0,255568.0,136326.0
92376,219415.0,327037.0,219704.0,114336.0,86611.0,11258.0
92377,48345.0,84615.0,98093.0,82619.0,97688.0,18436.0
92392,116950.0,180722.0,186050.0,143190.0,180625.0,20641.0
92394,67713.0,99037.0,93796.0,63377.0,65191.0,8752.0
92395,100503.0,129878.0,114317.0,82695.0,108819.0,283919.0
92397,8589.0,17233.0,23610.0,25381.0,49862.0,18690.0
92399,101585.0,164333.0,186849.0,180040.0,388474.0,181056.0
92401,7466.0,3987.0,4391.0,,,
92404,160716.0,196281.0,131043.0,86163.0,98408.0,40902.0
92405,81177.0,106130.0,65538.0,37602.0,42777.0,
92407,125583.0,195206.0,167892.0,134587.0,178682.0,31696.0
92408,38174.0,44577.0,26645.0,16881.0,18671.0,11407.0
92410,147760.0,141039.0,63662.0,25841.0,17140.0,
92411,81667.0,86129.0,36341.0,11819.0,9216.0,
92501,51885.0,78565.0,65064.0,38871.0,48915.0,38575.0
92503,199367.0,313688.0,269115.0,210175.0,349352.0,121499.0
92504,124808.0,206599.0,172580.0,123615.0,195863.0,103031.0
92505,113045.0,182374.0,148200.0,105472.0,141418.0,29675.0
92506,78124.0,149371.0,168012.0,174695.0,445927.0,455745.0
92507,128855.0,173095.0,126752.0,90557.0,139060.0,56281.0
92508,51239.0,90757.0,118742.0,146453.0,361767.0,104541.0
92509,186859.0,277396.0,207335.0,152868.0,199808.0,36504.0
92518,1528.0,4048.0,7261.0,9304.0,20722.0,
92530,109496.0,168102.0,151024.0,114067.0,153529.0,25010.0
92532,27880.0,56048.0,76652.0,75107.0,127498.0,23428.0
92536,7260.0,12856.0,12606.0,11779.0,23015.0,
92539,9340.0,14027.0,12338.0,9073.0,11798.0,
92543,85264.0,102625.0,61250.0,31837.0,35247.0,18161.0
92544,97609.0,140577.0,131550.0,107098.0,166318.0,76903.0
92545,86045.0,144413.0,136239.0,101253.0,119187.0,27093.0
92548,16334.0,20892.0,14453.0,7472.0,10749.0,
92551,73106.0,122016.0,102259.0,64012.0,59934.0,6344.0
92553,189585.0,276719.0,179154.0,97609.0,85988.0,7363.0
92555,68618.0,133769.0,152034.0,138768.0,211887.0,35756.0
