Zip Code,2010 Pills
95693,200
95694,168000
95695,2274116
95696,0
95709,600
95713,2300
95722,177230
95726,732130
95735,0
95736,100
95742,277100
95746,577000
95747,1439220
95757,600
95758,3148350
95762,886900
95765,1112670
95776,452800
95811,1333430
95814,196900
95815,2041560
95816,2637370
95817,1369900
95818,291800
95819,1660230
95820,1851920
95821,3602130
95822,1903260
95823,5053810
95824,1107900
95825,6087880
95826,875380
95827,88530
95828,800850
95829,463130
95831,1016160
95832,3900
95833,1448800
95834,1357150
95835,989540
95838,542530
95841,833400
95842,925700
95843,1571730
95864,495600
95901,2682900
95912,100
95926,5944440
95928,2793620
95929,11500
95932,659610
95934,0
95936,3390
95945,3356880
95946,205100
95947,347200
95948,865750
95949,1078400
95953,389800
95954,958640
95959,190050
95961,1626320
95962,0
95963,1010000
95965,1089350
95966,4537740
95969,3349940
95971,627080
95973,164730
95987,187900
95988,710780
95991,4621400
95993,2319820
96001,5023560
96002,3695690
96003,2957830
96007,3203970
96009,0
96013,781780
96019,781320
96020,413400
96021,1129730
96022,358500
96027,198900
96028,152600
96032,0
96039,137800
96041,215000
96052,700
96055,350400
96056,500
96062,1000
96064,0
96067,870120
96073,676630
96080,2985930
96088,100
96093,920230
96094,235200
96097,1719735
96101,734990
96103,0
96118,131200
96120,0
96122,244800
96129,0
96130,2798790
96137,0
96143,209280
96145,133500
96146,9200
96150,1835100
96161,834800
96162,0
