Zip Code,2006-2012 Transactions,2010 Population
94612,8045,14389
90274,8018,25209
95425,7992,10841
90008,7991,32327
95971,7977,5970
93610,7958,23833
91204,7923,16032
95014,7872,60717
90240,7867,25876
90813,7855,58911
91311,7794,36557
95249,7788,4042
90255,7787,75066
93108,7785,11112
90026,7718,67869
91306,7710,45061
93550,7686,74929
95148,7637,45528
90064,7629,25403
91945,7622,25460
91766,7605,71599
91744,7604,85040
94014,7602,47014
90220,7557,49328
92075,7556,12056
90007,7535,40920
90670,7532,14866
94519,7505,18453
95212,7504,25239
95366,7484,16575
93210,7482,19504
94803,7477,24904
90039,7464,28514
96067,7452,7165
93238,7431,1490
91205,7428,37810
92130,7357,48940
95776,7355,21902
90057,7349,44998
96013,7319,4212
91791,7315,32414
95018,7311,7778
91901,7285,17403
92118,7269,23575
91752,7264,30047
91384,7251,29855
90601,7244,31974
95618,7242,27281
94539,7232,50031
94503,7216,19681
96073,7214,4082
90623,7190,15554
95354,7159,25394
95203,7151,15696
93449,7135,7657
95206,7108,65004
91406,7087,51558
95446,7036,4750
95360,7000,11712
95112,6993,55927
92371,6985,16763
90066,6950,55277
94030,6933,21536
92127,6931,39337
95932,6917,7718
90042,6905,62430
93012,6890,34617
90212,6883,11555
92555,6879,39076
94132,6845,28129
95252,6817,13460
95841,6787,19448
92231,6781,39073
93706,6770,41087
92602,6759,22871
94517,6757,12385
90020,6694,38967
95121,6667,37469
95383,6659,3937
92337,6573,37849
94602,6534,28329
92121,6523,4179
91902,6501,17653
94706,6473,19615
94571,6468,7911
94127,6446,19289
94002,6411,25992
95665,6378,4426
94304,6363,3627
93212,6350,26079
95726,6319,8842
90019,6294,64458
93004,6291,29149
90744,6265,53815
94022,6264,18500
93505,6257,14038
92122,6244,43728
94597,6239,20277
90605,6236,40331
94560,6214,42573
94547,6198,24092
95864,6167,22447
94124,6154,33996
90047,6131,48606
91601,6120,37180
92113,6043,56066
95222,6034,5292
90017,6018,23768
95953,6017,10718
93728,5992,15743
95138,5975,18889
95565,5950,1071
92014,5948,13154
95650,5928,12447
92102,5897,43267
94116,5893,43698
94574,5860,8742
90023,5833,45903
95120,5833,37457
95338,5741,11062
91381,5735,20158
94931,5726,8470
93307,5705,82658
91001,5701,36126
93111,5691,17370
94062,5690,25876
94947,5681,24283
95304,5666,15706
94506,5663,22452
90012,5654,31103
90502,5643,18010
91780,5643,34332
94621,5641,29870
94705,5626,12762
92124,5600,30443
92116,5586,31680
94605,5583,39016
95030,5572,12791
94133,5563,26237
91732,5563,61386
91214,5562,30356
90606,5562,32396
94949,5559,17202
92808,5552,20039
95320,5551,12819
94563,5545,17672
91724,5541,26184
93442,5527,10789
92844,5520,24307
92570,5504,53697
91932,5499,25718
95341,5495,32967
95223,5490,4612
93930,5483,15866
94043,5457,28358
95829,5454,24755
95954,5445,12251
95209,5434,39488
92701,5389,53908
91202,5380,22830
94549,5361,26864
91340,5349,34188
93221,5313,14945
94704,5311,25592
92352,5305,8004
90232,5295,15149
90248,5295,9947
95742,5291,7749
90061,5287,26872
94502,5279,13600
91352,5250,47807
95573,5246,1744
90015,5243,18986
92011,5239,22405
95116,5237,51496
90401,5228,6722
92663,5225,21649
94507,5214,14889
91011,5192,20280
94555,5178,34143
91208,5172,16245
96101,5147,5490
95386,5142,9877
94595,5129,16425
91602,5092,17473
90004,5062,62180
90254,5059,19506
93103,5039,20249
92551,5038,30815
91792,4994,30854
94086,4976,45697
95542,4911,2533
91737,4873,24740
93110,4851,16829
91201,4850,22781
91103,4816,27480
93927,4813,17547
94134,4807,40798
94610,4800,29287
92106,4786,19330
92081,4786,27404
95132,4781,40299
93650,4781,4055
92252,4770,9647
93109,4750,10858
91768,4743,34537
94585,4743,28263
93240,4732,6056
93458,4720,55431
95202,4696,6521
95330,4690,17853
90621,4672,35153
93960,4671,27080
94709,4643,11806
93001,4638,32990
94607,4606,24978
93630,4600,19162
90260,4566,34924
92612,4559,27522
90755,4525,11074
90044,4511,89779
93015,4503,17334
92301,4501,32725
94904,4493,11995
90504,4463,32102
95640,4443,11353
95219,4426,27884
95315,4420,13018
95321,4404,3736
96020,4383,2416
94556,4376,15229
95357,4374,11559
95602,4319,17509
92841,4305,32845
93428,4278,6314
92029,4265,19021
92620,4244,38486
93225,4223,5077
95136,4179,42989
92549,4178,3926
94107,4162,26599
94939,4134,6859
92866,4108,14885
95237,4103,3167
95326,4091,9581
92236,4088,41083
93638,4075,49068
96019,4064,10082
93280,4062,27152
92707,4054,59492
90067,4048,2424
91731,4032,29591
91354,3961,28722
95133,3945,25401
95247,3944,4368
94710,3941,6948
91343,3935,60254
92606,3931,21495
92883,3919,29301
95006,3903,8979
93460,3864,5255
95135,3838,20120
93263,3830,19582
92539,3812,4734
94606,3810,36672
95722,3775,4585
91739,3756,34794
92805,3755,70401
93704,3754,27156
96143,3744,4414
93546,3733,9567
92107,3729,28651
94105,3723,5846
95946,3687,9790
90059,3675,40952
95818,3656,19811
96022,3638,15768
94505,3635,13403
92363,3618,5321
92703,3601,65445
90037,3586,62276
90071,3581,15
90095,3578,3
92277,3543,23911
90275,3541,41804
93427,3539,5505
92394,3526,33237
94580,3524,27152
95692,3520,4769
93701,3515,12529
94131,3512,26881
94702,3502,15979
91784,3473,25938
91789,3468,43079
90029,3463,38617
96122,3440,3883
94108,3417,13768
95073,3415,10154
95468,3415,1258
96055,3414,3935
92377,3412,19989
93620,3406,9591
93463,3398,7646
93651,3346,1674
95838,3314,36764
91020,3289,8415
91776,3288,38475
93433,3283,13162
92625,3269,12478
92313,3179,12025
92320,3178,7788
96094,3154,6630
94703,3097,19846
95987,3079,5992
94111,3067,3713
90043,3029,44789
95365,3020,4985
95324,3019,7324
95959,2997,17838
90249,2986,26669
93286,2982,9548
90013,2966,11772
95070,2953,30617
90746,2940,25990
95460,2912,2285
95947,2904,1899
90011,2900,103892
94024,2897,22385
90221,2891,53704
95322,2878,8942
92679,2876,32611
94707,2870,11710
95814,2867,9922
92210,2788,4677
94104,2783,406
92582,2743,15649
91733,2735,43896
94965,2722,10847
90031,2722,39316
91108,2694,13361
92596,2661,23172
91203,2659,13220
92590,2631,3660
93721,2627,6959
96145,2597,3161
91775,2513,23988
92325,2501,9391
95458,2466,3104
93926,2458,8726
94956,2457,1756
90814,2449,19131
90002,2446,51223
95536,2444,2849
94065,2430,11359
95130,2419,13911
96041,2409,2747
91040,2387,20372
93501,2385,5467
90010,2375,3800
91390,2365,19786
92861,2349,5781
92082,2343,19037
95451,2335,11213
93625,2288,7313
95379,2288,3898
93247,2279,17423
96027,2262,2227
92067,2229,9535
93702,2221,48607
94925,2214,9253
93314,2179,22393
93430,2174,2972
93626,2171,1359
95694,2150,9156
96118,2149,1627
95461,2137,3413
93241,2135,17489
93465,2129,9153
90005,2125,37681
95454,2108,2556
94599,2034,3021
93271,2009,2276
95111,2005,58466
95054,1987,23364
90001,1986,57110
92614,1962,24748
90304,1945,28210
93223,1864,10604
96039,1860,1251
92657,1828,9741
92410,1814,49410
95358,1811,31668
95669,1804,2443
90715,1796,20388
90062,1794,32821
92251,1794,21583
93545,1790,2082
90402,1762,12250
90716,1756,14184
90704,1756,4090
95546,1748,3494
92139,1702,35125
95436,1675,5418
96028,1674,1464
90077,1656,9377
95110,1646,18730
90293,1641,12132
