Zip Code,Size AGI,Adjusted Gross Income,,,,,
90232,"$75,000 under $100,000",67123,,,,,
90232,"$100,000 under $200,000",151803,,,,,
90232,"$200,000 or more",760707,,,,,
90240,"$1 under $25,000",56579,,,,,
90240,"$25,000 under $50,000",95714,,,,,
90240,"$50,000 under $75,000",97675,,,,,
90240,"$75,000 under $100,000",81848,,,,,
90240,"$100,000 under $200,000",168184,,,,,
90240,"$200,000 or more",101966,,,,,
90241,"$1 under $25,000",107010,,,,,
90241,"$25,000 under $50,000",186540,,,,,
90241,"$50,000 under $75,000",160824,,,,,
90241,"$75,000 under $100,000",118608,,,,,
90241,"$100,000 under $200,000",198001,,,,,
90241,"$200,000 or more",101603,,,,,
90242,"$1 under $25,000",103378,,,,,
90242,"$25,000 under $50,000",181614,,,,,
90242,"$50,000 under $75,000",154776,,,,,
90242,"$75,000 under $100,000",110879,,,,,
90242,"$100,000 under $200,000",143172,,,,,
90242,"$200,000 or more",32276,,,,,
90245,"$1 under $25,000",28572,,,,,
90245,"$25,000 under $50,000",66309,,,,,
90245,"$50,000 under $75,000",96978,,,,,
90245,"$75,000 under $100,000",102778,,,,,
90245,"$100,000 under $200,000",248125,,,,,
90245,"$200,000 or more",341887,,,,,
90247,"$1 under $25,000",136712,,,,,
90247,"$25,000 under $50,000",229182,,,,,
90247,"$50,000 under $75,000",172354,,,,,
90247,"$75,000 under $100,000",109418,,,,,
90247,"$100,000 under $200,000",124502,,,,,
90247,"$200,000 or more",24372,,,,,
90248,"$1 under $25,000",26887,,,,,
90248,"$25,000 under $50,000",48649,,,,,
90248,"$50,000 under $75,000",44443,,,,,
90248,"$75,000 under $100,000",36554,,,,,
90248,"$100,000 under $200,000",59604,,,,,
90248,"$200,000 or more",103766,,,,,
90249,"$1 under $25,000",75504,,,,,
90249,"$25,000 under $50,000",123338,,,,,
90249,"$50,000 under $75,000",108840,,,,,
90249,"$75,000 under $100,000",85060,,,,,
90249,"$100,000 under $200,000",126507,,,,,
90249,"$200,000 or more",20823,,,,,
90250,"$1 under $25,000",259484,,,,,
90250,"$25,000 under $50,000",447545,,,,,
90250,"$50,000 under $75,000",300656,,,,,
90250,"$75,000 under $100,000",188603,,,,,
90250,"$100,000 under $200,000",272481,,,,,
90250,"$200,000 or more",89016,,,,,
90254,"$1 under $25,000",27767,,,,,
90254,"$25,000 under $50,000",74005,,,,,
90254,"$50,000 under $75,000",110475,,,,,
90254,"$75,000 under $100,000",109500,,,,,
90254,"$100,000 under $200,000",299784,,,,,
90254,"$200,000 or more",741797,,,,,
90255,"$1 under $25,000",249259,,,,,
90255,"$25,000 under $50,000",296345,,,,,
90255,"$50,000 under $75,000",136916,,,,,
90255,"$75,000 under $100,000",62834,,,,,
90255,"$100,000 under $200,000",37309,,,,,
90255,"$200,000 or more",22213,,,,,
90260,"$1 under $25,000",94445,,,,,
90260,"$25,000 under $50,000",157116,,,,,
90260,"$50,000 under $75,000",111824,,,,,
90260,"$75,000 under $100,000",73544,,,,,
90260,"$100,000 under $200,000",95686,,,,,
90260,"$200,000 or more",28324,,,,,
90262,"$1 under $25,000",207272,,,,,
90262,"$25,000 under $50,000",270667,,,,,
90262,"$50,000 under $75,000",143188,,,,,
90262,"$75,000 under $100,000",68690,,,,,
90262,"$100,000 under $200,000",46613,,,,,
