Zip Code,Returns,AIG,,
91008,36,3127,,
91008,110,15502,,
91008,85,86558,,
91010,"11,484","548,276",,
91010,4679,62503,,
91010,2995,107838,,
91010,1676,102708,,
91010,967,83353,,
91010,1023,133157,,
91010,144,58717,,
91011,"9,218","2,086,302",,
91011,2451,22910,,
91011,1097,40287,,
91011,766,47408,,
91011,725,63004,,
91011,1866,269385,,
91011,2313,1643308,,
91016,"18,274","1,103,314",,
91016,6669,84758,,
91016,4349,158253,,
91016,2672,165234,,
91016,1682,145606,,
91016,2362,317697,,
91016,540,231766,,
91020,"3,457","191,202",,
91020,1217,15280,,
91020,873,31892,,
91020,545,33409,,
91020,352,30283,,
91020,394,52231,,
91020,76,28107,,
91024,"5,310","540,719",,
91024,1460,17081,,
91024,926,33832,,
91024,756,46295,,
91024,563,48596,,
91024,1032,144887,,
91024,573,250028,,
91030,"11,946","1,193,420",,
91030,3341,38521,,
91030,2228,82311,,
91030,1867,115533,,
91030,1288,111317,,
91030,2046,284262,,
91030,1176,561476,,
91040,"9,444","579,776",,
91040,3293,41119,,
91040,2235,81580,,
91040,1433,89095,,
91040,966,83595,,
91040,1257,166971,,
91040,260,117416,,
91042,"11,961","595,366",,
91042,4716,60028,,
91042,3019,109256,,
91042,1768,109118,,
91042,1024,88377,,
91042,1239,164308,,
91042,195,64279,,
91101,"9,755","704,001",,
91101,3345,41548,,
91101,2218,80941,,
91101,1567,97246,,
91101,987,85074,,
91101,1242,167142,,
91101,396,232050,,
91103,"11,617","761,206",,
91103,5689,73438,,
91103,2597,91989,,
91103,1154,70821,,
91103,656,56507,,
91103,929,126716,,
91103,592,341735,,
91104,"16,206","963,944",,
91104,6277,79815,,
91104,3750,134194,,
91104,2048,125697,,
91104,1352,117366,,
91104,2118,291307,,
91104,661,215565,,
91105,"6,238","1,105,170",,
91105,1356,15241,,
91105,911,34105,,
91105,792,49034,,
91105,616,53362,,
91105,1333,189955,,
91105,1230,763473,,
91106,"11,615","1,277,880",,
91106,3752,47107,,
91106,2664,96095,,
91106,1712,105912,,
91106,1103,95588,,
91106,1487,201253,,
91106,897,731925,,
91107,"15,917","1,438,149",,
91107,4913,59039,,
91107,3248,118739,,
91107,2278,140918,,
91107,1539,132852,,
91107,2682,368274,,
91107,1257,618327,,
91108,"6,281","1,443,323",,
91108,1729,16437,,
91108,756,28010,,
91108,533,33288,,
91108,452,39148,,
91108,1175,170892,,
91108,1636,1155548,,
91201,"10,162","487,591",,
