Zip Code,Size AGI,Returns,Joint Returns,AGI,Unemployment Returns,Unemployment Amount,Taxable Income Returns,Taxable Income Amount
90242,25K under 50K,5044,1409,181614,636,5740,4749,85824
90242,50K under 75K,2536,1216,154776,325,2944,2513,88763
90242,75K under 100K,1288,842,110879,127,1229,1282,68131
90242,100K under 200K,1113,910,143172,127,1162,1113,95390
90242,200K or more,89,72,32276,0,0,87,20580
90245,1 under 25K,2449,233,28572,220,2140,1283,7912
90245,25K under 50K,1778,287,66309,237,2576,1711,39582
90245,50K under 75K,1563,423,96978,124,1217,1529,65691
90245,75K under 100K,1185,532,102778,110,864,1181,72737
90245,100K under 200K,1788,1253,248125,159,1295,1787,176865
90245,200K or more,700,571,341887,45,357,700,270568
90247,1 under 25K,9897,1477,136712,1097,8254,4361,24742
90247,25K under 50K,6387,1672,229182,680,6349,6056,111456
90247,50K under 75K,2834,1087,172354,255,2050,2824,106338
90247,75K under 100K,1280,682,109418,111,1015,1279,72291
90247,100K under 200K,973,696,124502,101,829,970,86946
90247,200K or more,81,60,24372,0,0,81,18882
90248,1 under 25K,2003,340,26887,234,1986,905,5635
90248,25K under 50K,1356,365,48649,160,1456,1298,24445
90248,50K under 75K,726,292,44443,59,557,721,27320
90248,75K under 100K,424,269,36554,44,411,423,24036
90248,100K under 200K,452,335,59604,33,291,450,41533
90248,200K or more,129,106,103766,0,0,129,88546
90249,1 under 25K,5697,818,75504,673,5579,2401,13986
90249,25K under 50K,3399,818,123338,365,3440,3234,60162
90249,50K under 75K,1773,679,108840,160,1382,1762,64771
90249,75K under 100K,985,552,85060,85,806,982,54157
90249,100K under 200K,983,717,126507,97,932,983,86376
90249,200K or more,75,53,20823,0,0,75,15991
90250,1 under 25K,18824,2353,259484,2208,17466,8509,49852
90250,25K under 50K,12571,2870,447545,1386,13078,12009,219213
90250,50K under 75K,4938,1955,300656,523,4577,4906,182169
90250,75K under 100K,2198,1200,188603,249,2490,2192,120244
90250,100K under 200K,2073,1557,272481,222,1923,2068,184899
90250,200K or more,277,222,89016,23,187,276,69881
90254,1 under 25K,2325,152,27767,234,2606,1236,8291
90254,25K under 50K,1975,239,74005,299,3531,1872,45860
