Zip Code,Tax Returns,AGI thousands
92835,11158.00,1039978.00
92840,22697.00,887660.00
92841,13731.00,559364.00
92843,18081.00,598914.00
92844,9739.00,335052.00
92845,7836.00,516976.00
92860,10569.00,665717.00
92861,2771.00,495737.00
92865,9107.00,526603.00
92866,7217.00,345821.00
92867,19682.00,1447562.00
92868,10226.00,457330.00
92869,17418.00,1349756.00
92870,23213.00,1412972.00
92879,19393.00,888700.00
92880,23281.00,1497996.00
92881,11741.00,842132.00
92882,27227.00,1457575.00
92883,11696.00,846997.00
92886,21227.00,2171256.00
92887,9481.00,1038422.00
93001,15103.00,831190.00
93003,23090.00,1451349.00
93004,12874.00,793535.00
93010,19811.00,1491327.00
93012,15554.00,1397791.00
93013,7471.00,493691.00
93015,7131.00,310198.00
93021,16468.00,1251712.00
93022,2909.00,172698.00
93023,8881.00,632536.00
93030,26765.00,1117966.00
93033,41780.00,1278755.00
93035,12760.00,823061.00
93036,17287.00,795140.00
93041,9280.00,380127.00
93060,14251.00,593163.00
93063,25084.00,1662047.00
93065,32737.00,2328459.00
93066,1632.00,161440.00
93101,14129.00,787154.00
93103,8400.00,523312.00
93105,12068.00,1065903.00
93108,4760.00,1226382.00
93109,4986.00,495171.00
93110,7343.00,745360.00
93111,8697.00,740734.00
93117,15751.00,953589.00
93202,1526.00,49399.00
93203,9733.00,229087.00
93204,4075.00,100383.00
93205,676.00,21558.00
93206,920.00,33458.00
93207,104.00,4481.00
93210,4913.00,212693.00
93212,4845.00,170667.00
93215,17486.00,524038.00
93219,3915.00,86254.00
93221,5485.00,297091.00
93223,3452.00,90837.00
93224,183.00,8554.00
93225,2096.00,97104.00
93226,107.00,5924.00
93230,23758.00,1128525.00
93235,1641.00,42989.00
93238,745.00,34842.00
93239,653.00,15425.00
93240,2176.00,84789.00
93241,6618.00,154740.00
93242,1365.00,49407.00
93243,581.00,25292.00
93244,224.00,12630.00
93245,13838.00,670904.00
93247,6113.00,181614.00
93249,1324.00,32279.00
93250,4722.00,128978.00
93252,527.00,23505.00
93254,304.00,12147.00
93255,188.00,7844.00
93256,1848.00,49989.00
93257,25213.00,917804.00
93263,7306.00,260283.00
93265,1588.00,101368.00
93266,624.00,20746.00
93267,2236.00,69253.00
93268,5732.00,304642.00
93270,2418.00,75304.00
93271,1048.00,59070.00
93272,1277.00,41884.00
93274,24207.00,1019884.00
93277,19749.00,981517.00
93280,7842.00,252261.00
93283,625.00,20255.00
93285,886.00,32574.00
93286,3338.00,113186.00
93291,18160.00,1004740.00
93292,14526.00,688176.00
93301,4661.00,215024.00
93304,17129.00,505227.00
93305,11966.00,353809.00
93306,24605.00,1156945.00
93307,27103.00,765747.00
93308,19324.00,956745.00
93309,23844.00,1191316.00
93311,16291.00,1351628.00
93312,22060.00,1590473.00
93313,16730.00,788004.00
93314,9244.00,839822.00
93401,12474.00,819923.00
93402,6435.00,342754.00
93405,7219.00,489509.00
93420,12326.00,857654.00
93422,12826.00,735950.00
93426,435.00,24780.00
93427,2751.00,162842.00
93428,3214.00,194567.00
93430,1501.00,123935.00
93432,637.00,40534.00
93433,5445.00,244914.00
93434,2812.00,87197.00
93436,20469.00,998989.00
93437,1226.00,51831.00
93442,4807.00,247580.00
93444,8652.00,531241.00
93445,2560.00,92286.00
93446,17875.00,1056421.00
93449,3798.00,282810.00
93450,250.00,31843.00
93451,1648.00,76788.00
93452,221.00,8146.00
93453,1310.00,65693.00
93454,14711.00,616562.00
93455,17986.00,1134052.00
93458,23084.00,632447.00
93460,2871.00,313130.00
93461,663.00,25896.00
93463,3183.00,265922.00
93465,4275.00,301855.00
93501,1654.00,59243.00
93505,3822.00,176470.00
93510,3594.00,271681.00
93513,806.00,38473.00
93514,5678.00,295895.00
93516,654.00,27345.00
93517,383.00,18788.00
93518,427.00,20867.00
93523,1186.00,67481.00
93526,346.00,16399.00
93527,925.00,52125.00
93531,250.00,39034.00
93532,1248.00,69406.00
93534,14494.00,524824.00
93535,25830.00,905067.00
93536,26042.00,1538812.00
93543,4805.00,180027.00
93544,415.00,20898.00
93545,838.00,38485.00
93546,4371.00,214942.00
93550,26898.00,887252.00
93551,21334.00,1379214.00
93552,14221.00,555270.00
93553,765.00,36460.00
93555,13093.00,750708.00
93560,7331.00,360418.00
93561,10777.00,628367.00
93562,587.00,26049.00
93591,2305.00,73772.00
93601,864.00,41632.00
93602,1447.00,78663.00
