Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
95310,1882,944,938,53.1,51.6,54.5
95311,2197,1117,1080,53,53,53
95312,268,134,134,31.6,31.7,31.5
95313,1386,732,654,35.6,35.3,36.1
95314,0,0,0,0,0,0
95315,13018,6617,6401,28.1,27.7,28.5
95316,6573,3263,3310,35.9,34.8,37.2
95317,817,435,382,29.2,29.8,28
95318,541,268,273,39.5,41.6,37.8
95319,1749,878,871,31.8,30.1,33.3
95320,12819,6427,6392,36.7,35.7,38
95321,3736,1863,1873,57,57.4,56.5
95322,8942,4585,4357,33.8,32.5,35
95323,1260,629,631,33.9,33.3,34.5
95324,7324,3664,3660,35.9,34.1,37.5
95325,81,43,38,45.8,46.5,45.7
95326,9581,4728,4853,34.6,33.6,35.6
95327,9806,6657,3149,40.9,38.9,49
95328,3993,2016,1977,26.7,26.4,27.1
95329,2460,1265,1195,49.9,50.2,49.6
95330,17853,8928,8925,30.6,30.1,31.1
95333,2942,1491,1451,33.2,32.6,33.8
95334,15457,7811,7646,28,27.7,28.6
95335,541,289,252,54.3,53.1,55.6
95336,42675,21023,21652,35.2,33.7,36.6
95337,31557,15564,15993,32.6,32.1,33
95338,11062,5477,5585,50.3,49.6,50.9
95340,33931,16730,17201,32.8,30.9,34.9
95341,32967,16878,16089,25.3,25,25.6
95345,708,374,334,43.4,41.8,45.2
95346,1272,666,606,50,49,51.5
95348,30805,14928,15877,28,26.8,29.3
95350,51046,24435,26611,36.8,34.1,39.3
95351,46458,23441,23017,28.1,27.6,28.6
95354,25394,12779,12615,33,32,33.9
95355,58311,27916,30395,36.4,34.8,37.7
95356,30918,15060,15858,37.3,35.8,38.5
95357,11559,5778,5781,35.9,34,37.6
95358,31668,16380,15288,29.9,29.4,30.5
95360,11712,5834,5878,31,30.5,31.4
95361,31610,15547,16063,38.3,36.9,39.6
95363,25237,12824,12413,29.9,29.2,30.8
95364,53,27,26,45.3,46.3,39.5
95365,4985,2565,2420,26.9,26.6,27.1
95366,16575,8145,8430,37.8,36.2,39
