Zip Code,Death Rate
95307,0
95313,0
95316,0
95323,0
95326,0
95350,2.19
95351,18.46
95354,0
95355,0
95356,2.75
95357,0
95358,2.7
95360,0
95361,0
95363,4.1
95367,5.15
95368,7.54
95380,3.43
95382,3.47
95385,0
95386,0
95659,0
95668,0
95674,0
95953,20.41
95957,0
95982,0
95991,8.61
95993,5.8
37,0
38,0
95428,0
96021,0
96022,4.82
96035,0
96055,0
96059,0
96063,0
96075,0
96080,0
39,0
55,0
95527,0
95552,0
95595,0
96010,0
96014,0
96024,0
96031,0
96041,0
96046,0
96048,0
96052,0
96076,0
96091,0
96093,0
26,0
93207,0
93215,1.98
93219,0
93221,0
93223,8.52
93235,0
93244,0
93247,0
93256,0
93257,1.86
93260,0
93262,0
93265,0
93267,0
93270,0
93271,0
93272,0
93274,3.34
93277,2.14
93286,0
93291,4.75
93292,2.26
93603,0
93615,0
93618,3.92
93631,0
93646,0
93647,0
40,0
95309,0
95310,59.6
95321,0
95327,27.54
95329,0
95335,0
95346,0
95364,0
95370,25.27
95372,0
95379,28.78
95383,0
18,0
57,0
61,0
90265,0
91301,5.9
91304,3.58
91307,0
91311,1.72
91320,8.34
91360,8.97
91361,15.91
91362,1.78
91377,0
93001,19.91
93003,4.65
93004,9.65
93010,12.99
93012,9.26
93013,0
93015,0
93021,0
93022,0
93023,7.57
93030,6.5
93033,4.16
93035,3.95
93036,7.77
93041,15.08
93042,0
93043,0
93060,2.87
93063,14.36
93065,3.76
93066,0
93225,0
93243,0
93252,0
95605,21.55
95606,0
95607,0
95612,0
95616,4.06
95618,11.03
95620,10.56
95627,0
95637,0
95645,0
95653,0
95679,0
95691,0
95694,0
95695,0
95698,0
95776,0
95937,0
29,0
95692,0
95901,0
95903,0
95918,0
95919,0
95925,0
95935,0
95961,0
95962,0
95972,0
95977,0
